Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:19:52:32.537,61,0.0054012635,0.2709520459,0.1048295423,0.0000000000,0.0000000000,0.0515057147,0.0095536672,0.0054276665,0.2714788318,0.0238272920,0.0000000000,0.0000000000,0.0515260696,0.0099485554,0.0387808420,0.0030263886,0.0000000000,0.0845767111,0.1057562158,0.0578817204,0.1349362582,0.0222178530,0.0000000000,0.2102716118,0.2045702189,0.0000000000,0.0000000000,0.0587458201,0.0587937906,0.1553965360,0.1484659910,0.0975806490,0.0410090461,0.1430312246,0.0800019428,0.0503177419,0.0492189601,0.1413902640,0.1334698051,0.0294473488,0.0294312295,0.1446492076,0.1439208090,0.1013841629,0.0000000000,0.0000000000,0.0186801143,0.0923297033,0.1031973958,0.1388056427,0.1457149237,0.0000038273,0.0000000000,0.0000000000,0.0000000000,-0.0143555598,0.1658542156,-0.0024029172,0.0631604195,0.1658489555,0.0105647789
20:19:52:33.537,61,0.0053344336,0.2748294175,0.1034400463,0.0000000000,0.0000000000,0.0513854213,0.0094245048,0.0053564091,0.2753448784,0.0253393333,0.0000000000,0.0000000000,0.0514051691,0.0098060034,0.0381080583,0.0028121322,0.0000000000,0.0836673677,0.1048654020,0.0573824607,0.1339987516,0.0223364998,0.0000000000,0.2150784433,0.2074543238,0.0000000000,0.0000000000,0.0579327047,0.0578476116,0.1541485190,0.1468865275,0.0946964025,0.0405037180,0.1400450170,0.0793912709,0.0496963263,0.0486214608,0.1414787024,0.1327206492,0.0294928495,0.0294519905,0.1475650072,0.1467636675,0.1009412259,0.0000000000,0.0000000000,0.0184588153,0.0917595327,0.1025023386,0.1388323754,0.1455384940,0.0000069526,0.0000000000,0.0000000000,0.0000000000,-0.0152604636,0.1682184339,-0.0025914761,0.0622983836,0.1682131588,0.0105721448
20:19:52:34.539,61,0.0051839142,0.2789899707,0.1040079296,0.0000000000,0.0000000000,0.0513063893,0.0094485190,0.0052028052,0.2795199752,0.0248588342,0.0000000000,0.0000000000,0.0513256304,0.0098190419,0.0374438874,0.0026956468,0.0000000000,0.0825653225,0.1041187346,0.0570772253,0.1335942000,0.0226821043,0.0000000000,0.2232245356,0.2121803761,0.0000000000,0.0000000000,0.0572904013,0.0571008734,0.1533805579,0.1458318383,0.0928147659,0.0399045199,0.1390428990,0.0791235864,0.0491632782,0.0481061824,0.1415825039,0.1324357688,0.0296949968,0.0295971874,0.1489774734,0.1481462419,0.1007864922,0.0000000000,0.0000000000,0.0182676408,0.0914817080,0.1021490693,0.1420497894,0.1473772377,0.0000072262,0.0000000000,0.0000000000,0.0000000000,-0.0149645517,0.1707683355,-0.0025805037,0.0626131669,0.1707632095,0.0107897073
20:19:52:35.539,61,0.0048793806,0.2785198092,0.1039817706,0.0000000000,0.0000000000,0.0515366718,0.0105503323,0.0048961896,0.2790484428,0.0249771848,0.0000000000,0.0000000000,0.0515554287,0.0109302504,0.0367921814,0.0026594240,0.0000000000,0.0813774765,0.1034612060,0.0570538864,0.1335739344,0.0231585465,0.0000000000,0.2337110788,0.2202527970,0.0000000000,0.0000000000,0.0567990430,0.0565305874,0.1529424042,0.1451270133,0.0917089209,0.0392364487,0.1390300989,0.0792773739,0.0487115569,0.0476691797,0.1424851418,0.1326511502,0.0301487539,0.0299602635,0.1700199097,0.1688297838,0.1010631472,0.0000000000,0.0000000000,0.0181604289,0.0916372016,0.1022561044,0.1461219043,0.1506927907,0.0000073037,0.0000000000,0.0000000000,0.0000000000,-0.0150365438,0.1704804599,-0.0025884598,0.0626005158,0.1704752594,0.0107689844
20:19:52:36.540,61,0.0045486516,0.2776832283,0.1032499969,0.0000000000,0.0000000000,0.0516948402,0.0114590926,0.0045638126,0.2782002985,0.0258818250,0.0000000000,0.0000000000,0.0517129414,0.0118467528,0.0360678248,0.0024866830,0.0000000000,0.0804656297,0.1028893217,0.0572484657,0.1337107718,0.0237777065,0.0000000000,0.2382986099,0.2230600268,0.0000000000,0.0000000000,0.0563398898,0.0560125001,0.1524131000,0.1444564015,0.0906141177,0.0385183021,0.1393691003,0.0795387402,0.0481789894,0.0471368767,0.1429972351,0.1328236759,0.0307068266,0.0303949714,0.1755343676,0.1742440909,0.1014892310,0.0000000000,0.0000000000,0.0180165432,0.0918439254,0.1023411602,0.1476439983,0.1518650949,0.0000074420,0.0000000000,0.0000000000,0.0000000000,-0.0155825336,0.1699637324,-0.0026741519,0.0621654466,0.1699585021,0.0106611950
20:19:52:37.542,61,0.0043370309,0.2765491307,0.1020924374,0.0000000000,0.0000000000,0.0519381836,0.0118525503,0.0043504750,0.2770488262,0.0271339882,0.0000000000,0.0000000000,0.0519556515,0.0122407787,0.0355403312,0.0022824786,0.0000000000,0.0800009891,0.1027398258,0.0576207936,0.1339444220,0.0253673717,0.0000000000,0.2416562885,0.2246571481,0.0000000000,0.0000000000,0.0560823716,0.0556894243,0.1523405015,0.1442502588,0.0901690200,0.0379440561,0.1418024451,0.0799444616,0.0477299020,0.0466823205,0.1442513615,0.1333017796,0.0313045382,0.0308254529,0.1731512994,0.1717608124,0.1021021828,0.0000000000,0.0000000000,0.0178551991,0.0925570875,0.1027642339,0.1487405300,0.1526561975,0.0000068860,0.0000000000,0.0000000000,0.0000000000,-0.0163383801,0.1692623049,-0.0027920569,0.0614757985,0.1692570746,0.0104987286
20:19:52:38.543,61,0.0045718290,0.2755866349,0.1020982265,0.0000000000,0.0000000000,0.0522822812,0.0113242269,0.0045768037,0.2760845721,0.0272212140,0.0000000000,0.0000000000,0.0522992313,0.0117047299,0.0350242928,0.0020655072,0.0000000000,0.0796090662,0.1026021466,0.0578289628,0.1339298934,0.0263103116,0.0000000000,0.2433349043,0.2254403830,0.0000000000,0.0000000000,0.0557751097,0.0553274043,0.1519754082,0.1438190192,0.0896827728,0.0374532752,0.1424898952,0.0800535008,0.0472535044,0.0461925752,0.1448342502,0.1335559040,0.0317313038,0.0311071798,0.1709288657,0.1695309877,0.1024293751,0.0000000000,0.0000000000,0.0177059080,0.0930656940,0.1030783653,0.1492529511,0.1529503018,0.0000093839,0.0000000000,0.0000000000,0.0000000000,-0.0163925476,0.1686733663,-0.0027913777,0.0614854544,0.1686680913,0.0104631335
20:19:52:39.544,61,0.0045692506,0.2745350599,0.1029039174,0.0000000000,0.0000000000,0.0525806546,0.0113649797,0.0045708776,0.2750416398,0.0264400374,0.0000000000,0.0000000000,0.0525973029,0.0117474142,0.0345816985,0.0020481558,0.0000000000,0.0793286562,0.1024945006,0.0579003356,0.1334939599,0.0271318611,0.0000000000,0.2431135923,0.2249612957,0.0000000000,0.0000000000,0.0554805249,0.0550025776,0.1517838687,0.1434859037,0.0892114490,0.0371092632,0.1424094886,0.0797995478,0.0467564799,0.0456889421,0.1452184767,0.1337129325,0.0319537148,0.0312147886,0.1638796329,0.1623886526,0.1025327370,0.0000000000,0.0000000000,0.0175011829,0.0932789072,0.1031362191,0.1492823660,0.1528697014,0.0000124756,0.0000000000,0.0000000000,0.0000000000,-0.0159238558,0.1680349112,-0.0027011146,0.0619773939,0.1680296212,0.0105060525
20:19:52:40.544,61,0.0050103692,0.2763071358,0.1036157385,0.0000000000,0.0000000000,0.0526689403,0.0104685593,0.0049990974,0.2768262029,0.0256756004,0.0000000000,0.0000000000,0.0526857674,0.0108452626,0.0343521275,0.0022690014,0.0000000000,0.0793380961,0.1025982127,0.0577479377,0.1329577565,0.0278153773,0.0000000000,0.2427414358,0.2248032987,0.0000000000,0.0000000000,0.0554087348,0.0549165495,0.1519702226,0.1433898509,0.0893739685,0.0370223634,0.1422889978,0.0795342773,0.0464399382,0.0453827903,0.1459033340,0.1341608465,0.0320081003,0.0312016308,0.1614941210,0.1599913836,0.1024293825,0.0000000000,0.0000000000,0.0172934663,0.0932980180,0.1031183377,0.1491865963,0.1527862996,0.0000122974,0.0000000000,0.0000000000,0.0000000000,-0.0154605946,0.1691239476,-0.0026398634,0.0623946153,0.1691186875,0.0106465472
20:19:52:41.545,61,0.0053432048,0.2750887573,0.1030830592,0.0000000000,0.0000000000,0.0527520329,0.0097975451,0.0053232936,0.2755988538,0.0261739939,0.0000000000,0.0000000000,0.0527692884,0.0101668779,0.0341520123,0.0024513432,0.0000000000,0.0794657320,0.1026887596,0.0575477220,0.1327039003,0.0283251982,0.0000000000,0.2277380377,0.2113790214,0.0000000000,0.0000000000,0.0552502833,0.0547661744,0.1517514437,0.1430545300,0.0896123275,0.0370686501,0.1420384049,0.0792048723,0.0462526269,0.0452002995,0.1458576471,0.1340552419,0.0318647958,0.0310055986,0.1478657871,0.1464967281,0.1022711396,0.0000000000,0.0000000000,0.0171972420,0.0930805132,0.1028727666,0.1476164758,0.1512540430,0.0000098494,0.0000000000,0.0000000000,0.0000000000,-0.0157627147,0.1683748960,-0.0026792965,0.0620817356,0.1683696061,0.0105454139
20:19:52:42.546,61,0.0053936853,0.2738021016,0.1007325277,0.0000000000,0.0000000000,0.0528388880,0.0096071847,0.0053706835,0.2742794156,0.0285066999,0.0000000000,0.0000000000,0.0528567545,0.0099712675,0.0339361168,0.0026067754,0.0000000000,0.0797192901,0.1029056981,0.0574621446,0.1328068823,0.0286734980,0.0000000000,0.2233614028,0.2075990289,0.0000000000,0.0000000000,0.0551225021,0.0546628460,0.1515748203,0.1427926123,0.0897428691,0.0371356681,0.1417480707,0.0788482055,0.0461472757,0.0450986810,0.1458392888,0.1341038346,0.0316518135,0.0307682827,0.1406513900,0.1394099742,0.1019683182,0.0000000000,0.0000000000,0.0171682760,0.0926508904,0.1024885550,0.1453811973,0.1492190808,0.0000065289,0.0000000000,0.0000000000,0.0000000000,-0.0171698816,0.1675727069,-0.0029042899,0.0606742464,0.1675674468,0.0102566136
20:19:52:43.548,61,0.0053130398,0.2737036645,0.0989717022,0.0000000000,0.0000000000,0.0530672148,0.0096244002,0.0052891104,0.2741581500,0.0302156843,0.0000000000,0.0000000000,0.0530855991,0.0099843033,0.0340721905,0.0027146388,0.0000000000,0.0817522705,0.1060506031,0.0578878410,0.1341901869,0.0292017590,0.0000000000,0.2215236425,0.2058736533,0.0000000000,0.0000000000,0.0553262010,0.0548572391,0.1548822075,0.1446421891,0.0912748948,0.0373407640,0.1420986801,0.0787951574,0.0462142155,0.0451615937,0.1521793455,0.1393299997,0.0316833146,0.0307435542,0.1377097070,0.1365113556,0.1023465768,0.0000000000,0.0000000000,0.0172017571,0.0929092690,0.1028259695,0.1448448598,0.1487031877,0.0000020345,0.0000000000,0.0000000000,0.0000000000,-0.0181994420,0.1675016880,-0.0030770910,0.0596142896,0.1674963981,0.0100733070
20:19:52:44.549,61,0.0054218546,0.2724922597,0.0980299786,0.0000000000,0.0000000000,0.0533697195,0.0092529114,0.0053948099,0.2729325891,0.0312107168,0.0000000000,0.0000000000,0.0533879921,0.0096034054,0.0342814960,0.0025124527,0.0000000000,0.0828574523,0.1087366641,0.0607082844,0.1346111745,0.0296577085,0.0000000000,0.2207549214,0.2049728185,0.0000000000,0.0000000000,0.0554468408,0.0549537651,0.1578121781,0.1471873224,0.0921093374,0.0374300778,0.1425089687,0.0788018554,0.0461588427,0.0450960733,0.1581031382,0.1446700990,0.0319439545,0.0309261195,0.1357169896,0.1345288306,0.1032657623,0.0000000000,0.0000000000,0.0171877984,0.0943380445,0.1038772613,0.1454053074,0.1490178406,0.0000019584,0.0000000000,0.0000000000,0.0000000000,-0.0188011434,0.1667547971,-0.0031643708,0.0590544343,0.1667494476,0.0099334884
20:19:52:45.550,61,0.0057031908,0.2719713151,0.0987541080,0.0000000000,0.0000000000,0.0535537936,0.0086812135,0.0056694294,0.2724199593,0.0305587221,0.0000000000,0.0000000000,0.0535717122,0.0090247151,0.0341507867,0.0023570289,0.0000000000,0.0831318870,0.1094636768,0.0615955889,0.1348627359,0.0301189981,0.0000000000,0.2285359651,0.2080145925,0.0000000000,0.0000000000,0.0553500503,0.0548463911,0.1578620374,0.1474841684,0.0922514051,0.0372742042,0.1427932084,0.0788630173,0.0459705666,0.0448915102,0.1596638858,0.1460504383,0.0321929194,0.0310821757,0.1343442351,0.1331383586,0.1037756056,0.0000000000,0.0000000000,0.0171716549,0.0949463993,0.1043003350,0.1456159204,0.1491162926,0.0000033666,0.0000000000,0.0000000000,0.0000000000,-0.0184093509,0.1664403379,-0.0030924850,0.0594938397,0.1664350629,0.0099880882
20:19:52:46.551,61,0.0060433317,0.2726503015,0.0994465053,0.0000000000,0.0000000000,0.0537051484,0.0080206022,0.0060016001,0.2731090188,0.0298337638,0.0000000000,0.0000000000,0.0537228137,0.0083575659,0.0340797119,0.0023013258,0.0000000000,0.0832757726,0.1098604277,0.0621535443,0.1350272596,0.0302831326,0.0000000000,0.2305695266,0.2098995000,0.0000000000,0.0000000000,0.0552739389,0.0547763221,0.1579313427,0.1475760639,0.0922739804,0.0371958911,0.1426712871,0.0786777586,0.0457907282,0.0447009578,0.1606210470,0.1469921917,0.0323338732,0.0311906897,0.1292872727,0.1279602200,0.1043961197,0.0000000000,0.0000000000,0.0171541926,0.0952861980,0.1045762673,0.1458977759,0.1494333446,0.0000054394,0.0000000000,0.0000000000,0.0000000000,-0.0179713480,0.1668599993,-0.0030266710,0.0599067695,0.1668547243,0.0100831594
20:19:52:47.551,61,0.0064880052,0.2724914253,0.0994643718,0.0000000000,0.0000000000,0.0538866036,0.0071076062,0.0064351056,0.2729504406,0.0297110286,0.0000000000,0.0000000000,0.0539044850,0.0074381297,0.0341241322,0.0023499462,0.0000000000,0.0833494216,0.1099136248,0.0622597151,0.1348818094,0.0302755944,0.0000000000,0.2250965536,0.2101568282,0.0000000000,0.0000000000,0.0551879257,0.0547006615,0.1581768841,0.1477837116,0.0925478935,0.0372434594,0.1425682604,0.0785150155,0.0457759425,0.0446980335,0.1603410095,0.1470141560,0.0322375894,0.0311057996,0.1274858564,0.1261405200,0.1044754833,0.0000000000,0.0000000000,0.0171664618,0.0953941792,0.1047489569,0.1458731741,0.1495229006,0.0000071878,0.0000000000,0.0000000000,0.0000000000,-0.0178977065,0.1667629033,-0.0030124828,0.0599185228,0.1667576134,0.0100791538
20:19:52:48.553,61,0.0067117219,0.2707311511,0.0998077616,0.0000000000,0.0000000000,0.0539084561,0.0065734158,0.0066538192,0.2711922824,0.0292093996,0.0000000000,0.0000000000,0.0539264604,0.0068958090,0.0340130627,0.0022875783,0.0000000000,0.0830275267,0.1080618575,0.0611152388,0.1346785724,0.0290831421,0.0000000000,0.2160071582,0.2097312659,0.0000000000,0.0000000000,0.0549087897,0.0544860102,0.1552626044,0.1468960345,0.0926069021,0.0372913778,0.1423190683,0.0783174410,0.0458399765,0.0447655059,0.1435062140,0.1370032132,0.0318350308,0.0307726301,0.1252791286,0.1240444705,0.1036449447,0.0000000000,0.0000000000,0.0172622800,0.0938017666,0.1036775038,0.1388041377,0.1452265084,0.0000068201,0.0000000000,0.0000000000,0.0000000000,-0.0175987035,0.1656878591,-0.0029427102,0.0601362102,0.1656825393,0.0100493031
20:19:52:49.554,61,0.0068934113,0.2685301006,0.1013668105,0.0000000000,0.0000000000,0.0538181849,0.0061545321,0.0068317042,0.2690080404,0.0275039040,0.0000000000,0.0000000000,0.0538362600,0.0064699654,0.0338406488,0.0022400480,0.0000000000,0.0827108771,0.1071150154,0.0599861667,0.1345044822,0.0283494350,0.0000000000,0.2108877152,0.2079157531,0.0000000000,0.0000000000,0.0545809083,0.0542331114,0.1531968415,0.1460732818,0.0925236121,0.0373487584,0.1419136375,0.0780178234,0.0458520949,0.0447861403,0.1381133348,0.1324839294,0.0313306674,0.0303427037,0.1204811633,0.1193680093,0.1029015183,0.0000000000,0.0000000000,0.0173259471,0.0912672281,0.1011465043,0.1339515746,0.1409057826,0.0000061679,0.0000000000,0.0000000000,0.0000000000,-0.0165748224,0.1643504500,-0.0027487415,0.0610892102,0.1643450707,0.0101244394
